	   ------------词法分析结果------------
     记号类别   字符串  常数值  函数指针    所在行号
	19	COS	0	00365CE4	17
	11	(	0	00000000	17
	9	T	0	00000000	17
	12	)	0	00000000	17
	13	,	0	00000000	17
	19	SIN	0	00365C30	17
	11	(	0	00000000	17
	9	T	0	00000000	17
	12	)	0	00000000	17
	12	)	0	00000000	17
	10	;	0	00000000	17
	23	--	0	00000000	17
	2	ROT	0	00000000	18
	3	IS	0	00000000	18
	20	PI	3.14159	00000000	18
	17	/	0	00000000	18
	20	2	2	00000000	18
	15	-	0	00000000	18
	20	2	2	00000000	18
	16	*	0	00000000	18
	20	PI	3.14159	00000000	18
	17	/	0	00000000	18
	20	3	3	00000000	18
	10	;	0	00000000	18
	23	--	0	00000000	18
	7	FOR	0	00000000	19
	9	T	0	00000000	19
	8	FROM	0	00000000	19
	24	-0	0	00000000	19
	20	PI	3.14159	00000000	19
	4	TO	0	00000000	19
	20	PI	3.14159	00000000	19
	5	STEP	0	00000000	19
	20	PI	3.14159	00000000	19
	17	/	0	00000000	19
	20	50	50	00000000	19
	6	DRAW	0	00000000	19
	11	(	0	00000000	19
	19	COS	0	00365CE4	19
	11	(	0	00000000	19
	9	T	0	00000000	19
	12	)	0	00000000	19
	13	,	0	00000000	19
	19	SIN	0	00365C30	19
	11	(	0	00000000	19
	9	T	0	00000000	19
	12	)	0	00000000	19
	12	)	0	00000000	19
	10	;	0	00000000	19
	23	--	0	00000000	19
	23	--	0	00000000	20
	0	ORIGIN	0	00000000	21
	3	IS	0	00000000	21
	11	(	0	00000000	21
	20	580	580	00000000	21
	13	,	0	00000000	21
	20	240	240	00000000	21
	12	)	0	00000000	21
	10	;	0	00000000	21
	23	--	0	00000000	21
	1	SCALE	0	00000000	22
	3	IS	0	00000000	22
	11	(	0	00000000	22
	20	80	80	00000000	22
	13	,	0	00000000	22
	20	80	80	00000000	22
	12	)	0	00000000	22
	10	;	0	00000000	22
	23	--	0	00000000	22
	2	ROT	0	00000000	23
	3	IS	0	00000000	23
	20	0	0	00000000	23
	10	;	0	00000000	23
	23	--	0	00000000	23
	7	FOR	0	00000000	24
	9	T	0	00000000	24
	8	FROM	0	00000000	24
	20	0	0	00000000	24
	4	TO	0	00000000	24
	20	2	2	00000000	24
	16	*	0	00000000	24
	20	PI	3.14159	00000000	24
	5	STEP	0	00000000	24
	20	PI	3.14159	00000000	24
	17	/	0	00000000	24
	20	50	50	00000000	24
	6	DRAW	0	00000000	24
	11	(	0	00000000	24
	19	COS	0	00365CE4	24
	11	(	0	00000000	24
	9	T	0	00000000	24
	12	)	0	00000000	24
	13	,	0	00000000	24
	19	SIN	0	00365C30	24
	11	(	0	00000000	24
	9	T	0	00000000	24
	12	)	0	00000000	24
	12	)	0	00000000	24
	10	;	0	00000000	24
	23	--	0	00000000	24
	7	FOR	0	00000000	25
	9	T	0	00000000	25
	8	FROM	0	00000000	25
	20	0	0	00000000	25
	4	TO	0	00000000	25
	20	PI	3.14159	00000000	25
	16	*	0	00000000	25
	20	20	20	00000000	25
	5	STEP	0	00000000	25
	20	PI	3.14159	00000000	25
	17	/	0	00000000	25
	20	50	50	00000000	25
	6	DRAW	0	00000000	25
	11	(	0	00000000	26
	11	(	0	00000000	26
	20	1	1	00000000	26
	15	-	0	00000000	26
	20	1	1	00000000	26
	17	/	0	00000000	26
	11	(	0	00000000	26
	20	10	10	00000000	26
	17	/	0	00000000	26
	20	7	7	00000000	26
	12	)	0	00000000	26
	12	)	0	00000000	26
	16	*	0	00000000	26
	19	COS	0	00365CE4	26
	11	(	0	00000000	26
	9	T	0	00000000	26
	12	)	0	00000000	26
	14	+	0	00000000	26
	20	1	1	00000000	26
	17	/	0	00000000	26
	11	(	0	00000000	26
	20	10	10	00000000	26
	17	/	0	00000000	26
	20	7	7	00000000	26
	12	)	0	00000000	26
	16	*	0	00000000	26
	19	COS	0	00365CE4	26
	11	(	0	00000000	26
	24	-0	0	00000000	26
	9	T	0	00000000	26
	16	*	0	00000000	26
	11	(	0	00000000	26
	11	(	0	00000000	26
	20	10	10	00000000	26
	17	/	0	00000000	26
	20	7	7	00000000	26
	12	)	0	00000000	26
	15	-	0	00000000	26
	20	1	1	00000000	26
	12	)	0	00000000	26
	12	)	0	00000000	26
	13	,	0	00000000	26
	11	(	0	00000000	27
	20	1	1	00000000	27
	15	-	0	00000000	27
	20	1	1	00000000	27
	17	/	0	00000000	27
	11	(	0	00000000	27
	20	10	10	00000000	27
	17	/	0	00000000	27
	20	7	7	00000000	27
	12	)	0	00000000	27
	12	)	0	00000000	27
	16	*	0	00000000	27
	19	SIN	0	00365C30	27
	11	(	0	00000000	27
	9	T	0	00000000	27
	12	)	0	00000000	27
	14	+	0	00000000	27
	20	1	1	00000000	27
	17	/	0	00000000	27
	11	(	0	00000000	27
	20	10	10	00000000	27
	17	/	0	00000000	27
	20	7	7	00000000	27
	12	)	0	00000000	27
	16	*	0	00000000	27
